Hour,Solar_Input,Load_Demand
460,-0.37,12.6
461,3.74,13.74
462,2.92,14.41
463,-2.05,14.17
464,14.19,10.09
465,27.46,11.68
466,32.95,11.67
467,43.21,14.56
468,48.77,13.74
469,51.11,13.13
470,48.0,10.5
471,47.46,13.73
472,33.52,13.38
473,23.98,11.58
474,12.37,12.93
475,-4.85,10.23
476,-0.91,14.79
477,2.72,14.54
478,3.13,11.97
479,-3.26,11.14
480,1.76,10.63
481,3.91,13.08
482,-2.53,13.95
483,-2.96,12.9
484,4.34,12.83
485,-2.18,14.11
486,-2.7,14.07
487,-1.51,10.27
488,12.36,12.09
489,26.94,12.36
490,35.07,11.79
491,40.89,14.22
492,48.32,11.13
493,50.17,14.9
494,44.98,12.05
495,39.72,11.86
496,35.01,13.26
497,24.31,12.82
498,18.18,12.79
499,-2.97,12.05
500,-1.95,14.16
501,-0.5,10.98
502,0.86,14.17
503,3.36,13.56
504,-0.29,14.93
505,3.23,14.6
506,-0.15,13.03
507,3.63,12.18
508,-0.07,10.26
509,3.03,14.42
510,-1.55,12.73
511,-0.75,13.69
512,12.12,14.57
513,23.21,14.45
514,40.43,10.75
515,43.29,12.94
516,50.16,13.76
517,47.86,14.7
518,45.84,11.11
519,47.25,13.51
520,38.94,14.38
521,31.12,14.76
522,19.47,10.14
523,-4.55,10.85
524,-0.54,14.24
525,-1.38,10.39
526,0.81,10.39
527,-1.11,11.76
528,2.73,10.51
529,-2.56,14.63
530,3.91,10.25
531,-0.8,13.51
532,4.17,10.77
533,0.68,13.76
534,4.25,10.32
535,1.87,10.07
536,14.42,13.59
537,27.78,12.51
538,38.3,14.81
539,39.5,14.09
540,53.17,11.73
541,51.81,11.06
542,49.08,12.5
543,43.45,13.87
544,41.22,14.04
545,25.4,12.58
546,14.9,12.54
547,-3.55,14.23
548,0.78,12.71
549,-4.72,13.0
550,-0.17,12.92
551,-1.04,13.81
552,1.26,12.96
553,0.34,12.98
554,-2.95,12.98
555,2.05,12.9
556,-2.3,12.86
557,-3.73,13.64
558,-1.9,14.83
559,-3.01,11.63
560,20.01,10.36
561,27.98,12.3
562,33.1,10.47
563,44.41,12.39
564,50.45,11.64
565,52.28,13.25
566,46.77,13.61
567,43.71,12.52
568,40.8,14.61
569,26.39,14.45
570,12.54,14.81
571,3.04,12.34
572,0.25,10.38
573,3.16,12.09
574,-4.85,10.64
575,-2.24,10.42
576,2.84,12.72
577,-0.23,11.3
578,-2.61,10.75
579,-0.55,10.1
580,-4.26,13.87
581,-1.67,14.58
582,4.72,12.17
583,-0.77,14.19
584,17.29,12.87
585,32.57,11.56
586,34.75,13.61
587,39.86,12.64
588,51.76,11.54
589,48.52,11.23
590,45.57,14.19
591,48.86,10.35
592,37.66,12.94
593,31.85,11.88
594,15.98,12.9
595,2.11,13.1
596,2.06,12.47
597,4.0,12.2
598,-2.81,13.47
599,0.26,10.58
600,4.31,14.22
601,-0.87,12.65
602,0.11,12.55
603,0.67,14.92
604,-3.52,12.01
605,4.59,13.77
606,2.22,13.24
607,2.02,11.53
608,12.37,10.77
609,24.73,12.32
610,41.41,10.24
611,45.45,13.95
612,51.55,12.45
613,54.28,10.19
614,50.95,10.12
615,45.53,14.08
616,41.24,13.6
617,24.67,11.2
618,15.37,13.3
619,4.8,11.05
620,1.88,10.11
621,0.24,10.16
622,0.99,12.92
623,4.33,11.73
624,-3.9,14.66
625,3.59,12.94
626,-0.91,11.79
627,1.1,14.28
628,0.66,12.85
629,1.5,13.63
630,-0.84,13.56
631,2.42,14.99
632,16.12,10.94
633,32.06,12.01
634,38.12,12.99
635,49.33,14.49
636,52.34,14.09
637,46.47,14.14
638,50.92,11.22
639,41.03,14.05
640,33.57,11.42
641,30.86,12.88
642,14.23,13.74
643,4.17,11.95
644,-0.87,14.31
645,-3.74,11.95
646,4.27,14.37
647,-0.88,14.8
648,-3.28,10.22
649,0.95,14.94
650,3.06,13.86
651,-4.73,10.25
652,-4.84,10.96
653,-1.7,11.43
654,1.43,11.72
655,0.15,13.63
656,10.67,11.42
657,27.05,12.64
658,39.4,12.69
659,41.92,14.77
660,52.13,12.53
661,52.71,10.68
662,51.31,11.43
663,41.11,10.6
664,39.62,12.99
665,29.86,12.68
666,12.08,13.85
667,-0.81,11.5
668,1.95,11.33
669,3.27,13.15
670,-1.75,13.34
671,4.25,11.0
672,1.21,14.32
673,4.17,11.98
674,-0.39,11.26
675,1.44,10.11
676,-3.19,11.68
677,3.97,14.44
678,-3.36,10.93
679,3.41,14.53
680,12.45,14.93
681,26.45,13.67
682,35.06,14.93
683,45.01,12.06
684,47.45,10.08
685,47.56,14.09
686,47.49,10.12
687,43.2,14.79
688,36.28,14.14
689,30.38,12.24
690,18.92,10.13
691,-2.27,10.13
692,-4.06,11.04
693,-3.01,14.91
694,1.84,13.83
695,2.04,14.11
696,-1.89,12.82
697,2.85,14.24
698,1.17,12.15
699,-3.48,13.08
700,-1.35,13.14
701,0.04,13.8
702,-4.07,10.51
703,-1.51,13.19
704,12.43,14.11
705,23.71,11.96
706,42.44,10.08
707,46.14,14.45
708,47.3,11.98
709,53.06,11.97
710,44.37,11.16
711,49.29,11.96
712,34.56,10.99
713,31.42,14.76
714,19.11,11.99
715,3.71,12.04
716,4.87,14.99
717,-0.43,13.93
718,-1.69,12.78
719,-3.1,10.68
720,1.58,13.79
721,1.78,13.07
722,0.44,13.29
723,-2.83,13.47
724,4.29,12.94
725,-4.88,14.31
726,0.34,14.83
727,2.7,10.51
728,17.3,14.6
729,28.08,12.04
730,38.5,13.32
731,41.42,11.57
732,52.47,13.73
733,49.1,13.96
734,51.19,13.46
735,39.89,14.42
736,40.74,14.22
737,26.58,11.85
738,12.98,11.99
739,1.52,13.59
740,1.25,14.55
741,4.02,11.05
742,-3.34,11.5
743,-3.41,14.53
744,4.23,14.72
745,0.45,11.52
746,1.08,11.69
747,4.16,13.78
748,-1.8,10.87
749,-0.97,11.05
750,0.13,10.13
751,2.68,13.69
752,14.94,14.62
753,23.96,13.32
754,35.02,10.47
755,46.88,11.83
756,53.44,12.75
757,51.0,14.31
758,47.18,14.22
759,41.24,11.69
760,37.95,12.47
761,30.6,14.28
762,18.27,10.12
763,-3.71,13.62
764,4.13,13.48
765,4.23,13.96
766,1.7,15.0
767,0.62,12.11
768,-0.03,13.99
769,0.44,14.68
770,-0.49,11.8
771,1.37,11.54
772,2.23,11.06
773,1.79,12.79
774,-0.75,14.79
775,-1.95,12.2
776,19.5,12.14
777,27.9,10.99
778,34.29,13.59
779,43.53,10.41
780,44.05,12.92
781,54.32,10.98
782,51.17,10.06
783,45.35,10.86
784,33.94,11.43
785,24.68,11.95
786,10.74,13.11
787,-4.77,10.85
788,-1.41,12.09
789,-0.66,14.77
790,-2.15,13.18
791,-4.74,13.68
792,3.52,13.28
793,-0.2,14.05
794,2.05,13.87
795,-4.02,11.54
796,3.47,12.96
797,1.67,13.44
798,-1.89,13.87
799,0.19,14.09
800,14.64,10.41
801,28.74,14.7
802,39.98,10.57
803,48.96,11.25
804,46.76,11.96
805,49.53,14.47
806,51.77,14.22
807,40.58,11.21
808,32.57,11.5
809,31.56,13.4
810,15.67,12.46
811,-0.64,10.13
812,-3.65,11.2
813,-3.98,11.66
814,1.8,12.63
815,-4.24,14.68
816,3.88,14.2
817,-3.73,13.29
818,4.59,14.15
819,-4.95,11.28
820,-0.27,11.06
821,0.99,12.09
822,-0.94,14.66
823,-3.42,12.92
824,17.86,12.69
825,30.88,14.22
826,38.04,10.14
827,46.46,12.01
828,49.55,12.72
829,52.62,14.44
830,47.94,12.84
831,41.85,11.5
832,38.53,12.71
833,29.93,14.81
834,15.24,10.39
835,-0.69,11.26
836,-1.8,12.11
837,-2.26,14.67
838,4.42,12.39
839,-1.48,13.75
840,4.24,12.21
841,1.29,11.09
842,-0.5,11.23
843,2.72,14.84
844,-0.09,13.12
845,-0.46,12.65
846,1.41,13.08
847,-2.96,13.59
848,19.38,13.3
849,29.36,10.94
850,38.32,11.87
851,49.03,10.04
852,47.96,10.52
853,50.41,13.67
854,44.46,11.35
855,47.44,14.72
856,35.68,10.12
857,24.38,11.25
858,13.56,10.09
859,0.76,10.55
860,2.96,13.22
861,0.31,14.43
862,3.37,11.24
863,-3.52,10.18
864,4.3,13.59
865,1.42,13.85
866,-0.53,12.7
867,-2.15,10.61
868,-4.26,14.28
869,-0.04,10.23
870,-3.73,11.27
871,3.5,11.7
872,17.2,12.67
873,31.44,13.48
874,35.99,14.23
875,41.3,10.57
876,47.86,10.01
877,45.16,10.43
878,44.09,13.33
879,41.14,14.7
880,41.83,12.36
881,25.95,14.2
882,12.15,10.88
883,4.55,14.09
884,-3.02,11.98
885,-2.14,10.55
886,0.19,10.46
887,4.48,11.57
888,-2.44,10.09
889,1.37,12.3
890,-2.14,10.68
891,2.43,14.51
892,2.24,12.59
893,-4.13,12.94
894,2.09,11.44
895,0.14,11.62
896,19.38,15.0
897,28.79,10.44
898,37.09,10.9
899,44.88,14.51
900,45.49,11.03
901,52.12,13.25
902,45.91,13.42
903,42.11,11.51
904,35.56,11.88
905,30.72,14.29
906,12.86,10.74
907,-2.71,13.92
908,-0.16,11.18
909,-1.74,10.48
910,2.74,13.68
911,1.56,11.52
912,2.1,12.02
913,4.52,14.63
914,1.95,10.32
915,-4.06,14.83
916,4.01,11.83
917,3.34,14.12
918,-2.78,12.32
919,0.8,11.3
920,12.99,14.43
921,25.63,12.22
922,35.92,10.92
923,44.37,11.07
924,45.59,11.4
925,54.23,14.34
926,45.49,14.85
927,44.03,11.03
928,37.89,12.23
929,30.92,10.27
930,14.77,10.0
931,4.55,10.07
932,-3.15,12.09
933,-1.54,11.29
934,0.19,11.6
935,-2.43,14.55
936,-3.54,14.97
937,-1.41,11.42
938,-2.62,12.04
939,-1.14,11.9
940,-3.68,11.77
941,-2.38,14.17
942,-2.9,12.29
943,2.55,11.87
944,14.23,10.59
945,30.51,11.64
946,36.13,11.62
947,44.31,14.88
948,51.63,11.09
949,47.23,14.78
950,49.51,13.12
951,48.12,10.07
952,33.23,11.39
953,30.17,13.01
954,15.36,14.42
955,4.54,10.04
956,-1.29,13.4
957,3.05,14.71
958,0.22,14.13
959,0.84,13.23
960,-1.91,10.75
961,4.76,11.35
962,2.05,13.54
963,-2.68,11.78
964,-2.78,12.05
965,-0.85,13.48
966,-3.87,10.06
967,2.27,12.21
968,10.36,13.64
969,29.35,13.78
970,33.95,12.37
971,41.49,10.9
972,45.46,10.36
973,50.41,13.81
974,46.12,13.79
975,43.34,11.65
976,35.85,12.19
977,23.04,14.22
978,14.96,12.55
979,-1.75,11.66
980,-0.87,10.32
981,-3.93,12.82
982,-2.27,14.85
983,-1.86,14.32
984,-2.89,14.92
985,-4.79,14.28
986,-3.51,14.49
987,4.85,14.72
988,-0.1,12.0
989,4.62,13.92
990,-2.22,12.35
991,2.25,10.59
992,18.12,11.62
993,23.02,12.71
994,35.51,14.58
995,42.39,12.18
996,47.48,13.34
997,49.25,12.63
998,53.48,14.81
999,45.68,10.21
1000,32.82,13.67
1001,24.6,11.93
1002,14.66,11.95
1003,1.32,10.43
1004,0.77,13.81
1005,0.35,10.24
1006,-2.84,14.58
1007,-2.51,14.17
1008,3.11,12.59
1009,-1.64,14.89
1010,-1.27,14.24
1011,1.64,12.41
1012,3.82,12.2
1013,-3.46,10.82
1014,1.98,13.88
1015,-0.95,12.45
1016,10.39,11.12
1017,24.45,14.41
1018,32.72,12.49
1019,45.92,10.7
1020,50.48,12.85
1021,50.72,13.88
1022,52.53,11.66
1023,42.18,12.92
1024,38.02,10.24
1025,26.03,11.67
1026,19.28,12.92
1027,-0.91,11.9
1028,0.69,11.95
1029,-0.53,13.75
1030,4.62,12.7
1031,4.17,14.16
1032,4.73,11.47
1033,-2.8,10.34
1034,2.95,11.57
1035,-2.68,14.77
1036,-4.03,12.98
1037,-3.29,10.05
1038,-3.3,11.15
1039,-3.9,11.37
1040,19.46,14.36
1041,28.34,13.14
1042,42.04,11.05
1043,41.92,11.03
1044,53.17,10.66
1045,53.84,11.19
1046,45.59,14.66
1047,39.45,13.03
1048,41.44,11.52
1049,29.75,11.03
1050,19.85,11.48
1051,3.61,11.17
1052,-1.12,13.56
1053,2.13,12.31
1054,4.35,12.14
1055,1.88,14.73
1056,-0.01,13.96
1057,0.3,10.08
1058,0.72,12.21
1059,4.92,11.71
1060,-4.85,14.48
1061,1.89,12.47
1062,1.95,10.29
1063,3.16,11.97
1064,15.15,12.85
1065,26.9,13.44
1066,37.59,12.89
1067,43.84,12.71
1068,50.85,11.27
1069,54.84,14.15
1070,48.21,13.38
1071,47.02,10.36
1072,42.03,14.37
1073,26.25,11.85
1074,16.59,14.48
1075,4.77,14.17
1076,-4.52,13.3
1077,-0.93,14.3
1078,-4.17,11.09
1079,0.99,14.99
1080,-2.0,11.61
1081,0.05,10.31
1082,-2.67,14.29
1083,0.82,10.99
1084,0.34,10.98
1085,4.29,10.18
1086,-2.55,11.7
1087,-0.1,14.47
1088,11.32,12.34
1089,32.31,11.11
1090,36.32,12.3
1091,47.87,12.31
1092,47.15,13.29
1093,49.4,10.58
1094,51.0,10.57
1095,46.39,13.16
1096,37.8,10.98
1097,28.54,13.63
1098,16.6,11.21
1099,3.62,14.3
1100,-1.21,11.73
1101,4.12,10.7
1102,2.29,14.57
1103,-0.69,10.32
1104,-4.19,11.37
1105,4.03,14.71
1106,-0.49,10.84
1107,1.49,12.69
1108,-4.08,11.73
1109,-3.44,10.6
1110,-3.73,10.04
1111,1.3,14.66
1112,15.99,12.54
1113,32.19,12.04
1114,38.2,12.43
1115,47.44,13.69
1116,44.12,12.72
1117,47.15,12.36
1118,46.83,10.66
1119,44.95,13.72
1120,38.7,12.8
1121,30.1,10.68
1122,14.17,12.3
1123,4.75,12.82
1124,1.09,10.75
1125,2.38,13.79
1126,-1.72,10.31
1127,4.86,10.02
1128,4.34,10.91
1129,4.62,13.15
1130,-1.43,13.64
1131,-1.27,11.49
1132,4.21,13.18
1133,4.46,13.43
1134,0.47,12.62
1135,1.39,13.09
1136,18.71,11.86
1137,27.94,11.85
1138,37.04,12.46
1139,48.09,14.9
1140,50.91,10.46
1141,53.39,14.92
1142,47.89,13.57
1143,48.91,14.67
1144,39.91,12.4
1145,29.94,12.06
1146,12.76,12.43
1147,1.22,14.62
1148,1.6,10.65
1149,4.71,11.75
1150,-1.98,11.95
1151,4.6,10.43
1152,-0.43,12.02
1153,0.73,14.37
1154,-2.56,14.87
1155,-1.17,13.14
1156,-2.02,14.25
1157,-2.64,10.96
1158,-2.23,13.87
1159,-4.64,12.73
1160,16.1,10.41
1161,32.56,13.26
1162,37.93,13.54
1163,40.09,14.44
1164,47.4,10.84
1165,48.0,12.91
1166,44.84,13.88
1167,43.94,14.86
1168,36.96,13.18
1169,27.98,13.57
1170,18.68,14.55
1171,-1.53,10.12
1172,-0.43,12.27
1173,-1.26,10.3
1174,-4.79,11.06
1175,-3.44,14.61
1176,-4.59,13.58
1177,-2.82,11.63
1178,1.58,11.11
1179,-4.18,11.67
1180,3.61,12.85
1181,1.97,10.93
1182,-0.21,13.29
1183,4.56,12.26
1184,10.91,14.36
1185,27.28,11.68
1186,33.3,11.66
1187,43.03,12.76
1188,47.73,11.02
1189,45.84,11.91
1190,51.32,14.8
1191,42.37,14.96
1192,40.72,11.86
1193,28.54,11.87
1194,20.11,14.07
1195,-3.48,13.15
1196,-2.18,10.63
1197,-3.0,12.99
1198,-2.02,12.25
1199,4.73,12.26
1200,-3.9,12.68
1201,3.73,12.64
1202,-3.82,11.62
1203,-2.55,12.87
1204,-0.27,12.52
1205,-1.59,12.83
1206,-4.46,10.19
1207,1.09,10.49
1208,14.52,12.37
1209,31.09,11.0
1210,39.19,11.87
1211,40.81,10.57
1212,45.86,12.53
1213,54.84,12.66
1214,46.08,12.04
1215,47.7,12.87
1216,33.52,11.28
1217,27.48,13.58
1218,10.95,14.13
1219,-2.11,11.34
1220,0.94,14.12
1221,4.25,13.62
1222,-0.07,11.5
1223,-4.42,14.56
1224,4.94,13.05
1225,0.63,13.72
1226,-4.57,10.96
1227,-0.51,11.37
1228,2.21,14.47
1229,-1.56,12.11
1230,-2.72,12.86
1231,-4.04,13.14
1232,19.59,11.62
1233,27.08,12.56
1234,37.98,10.45
1235,48.9,11.42
1236,47.35,11.45
1237,48.65,14.57
1238,48.27,13.88
1239,39.61,11.33
1240,33.35,10.68
1241,24.87,11.57
1242,10.47,11.0
1243,1.23,14.31
1244,-2.79,12.71
1245,-3.89,11.26
1246,-0.45,11.75
1247,-0.24,11.67
1248,3.28,11.64
1249,0.75,14.4
1250,-3.16,12.24
1251,1.1,12.64
1252,-3.23,12.6
1253,2.61,11.08
1254,4.99,13.86
1255,-2.79,13.86
1256,15.23,10.65
1257,29.52,12.4
1258,41.49,13.91
1259,47.68,11.09
1260,50.35,13.6
1261,49.54,11.6
1262,50.31,13.23
1263,46.52,13.36
1264,39.52,10.68
1265,31.22,10.47
1266,18.05,11.97
1267,-0.59,10.4
1268,-4.19,10.24
1269,-0.48,14.02
1270,-3.6,13.92
1271,-4.97,12.74
1272,-1.97,13.6
1273,3.32,12.47
1274,0.01,14.66
1275,-1.97,14.6
1276,0.99,12.13
1277,0.85,11.8
1278,1.15,13.49
1279,-4.54,13.78
1280,12.73,14.35
1281,22.96,13.36
1282,38.86,14.36
1283,42.29,14.11
1284,45.85,12.45
1285,54.11,10.27
1286,53.0,14.97
1287,42.98,11.9
1288,40.91,12.62
1289,29.93,11.48
1290,13.24,14.84
1291,-3.83,13.5
1292,-3.79,10.01
1293,-3.04,13.26
1294,3.66,13.47
1295,0.23,12.62
1296,1.32,11.36
1297,0.2,12.97
1298,-2.7,14.93
1299,-0.79,13.86
1300,0.62,14.19
1301,2.35,10.3
1302,-3.03,10.59
1303,3.37,14.07
1304,14.38,14.68
1305,27.7,13.78
1306,38.32,12.93
1307,40.91,10.28
1308,53.57,10.74
1309,48.03,13.87
1310,47.64,13.62
1311,40.85,12.92
1312,42.48,13.64
1313,23.44,14.54
1314,18.46,11.25
1315,2.19,13.43
1316,-3.45,12.14
1317,2.95,12.64
1318,4.25,11.14
1319,3.23,10.08
1320,-2.24,10.89
1321,-2.36,12.42
1322,-2.45,14.73
1323,-3.65,11.19
1324,-1.95,12.36
1325,2.43,11.84
1326,-2.2,10.28
1327,4.47,10.37
